instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	r4.2xlarge	16	122000	13482	100	140000000	292	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	13482	100	140000000	292	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	13482	100	140000000	294	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15408	100	160000000	320	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15408	100	160000000	322	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15408	100	160000000	322	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15408	100	160000000	324	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	15408	100	160000000	324	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	17334	100	180000000	362	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	17334	100	180000000	364	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	17334	100	180000000	366	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	17334	100	180000000	368	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	17334	100	180000000	368	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19260	100	200000000	404	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19260	100	200000000	404	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19260	100	200000000	404	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19260	100	200000000	404	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19260	100	200000000	406	0.621439738915361	0.699904926309755	0.683905823195575
4	c4.2xlarge	32	60000	9530	1000	10000000	184	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9530	1000	10000000	184	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9530	1000	10000000	184	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9530	1000	10000000	184	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9530	1000	10000000	184	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9630	100	100000000	186	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9630	100	100000000	186	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9630	100	100000000	190	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9630	100	100000000	190	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	9630	100	100000000	192	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	11556	100	120000000	220	1.0	0.975170773880192	0.995589462652916
