instance_count	machine_type	slots	memory	data_size_MB	features	observations	iterations	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	r4.2xlarge	16	122000	14540	5	150000000	100	594	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	14540	5	150000000	100	596	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	1	376	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	1	378	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	1	378	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	1	380	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	1	380	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	25	574	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	25	576	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	25	578	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	25	578	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	25	578	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	50	768	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	50	770	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	50	770	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	50	776	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	50	780	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	100	770	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	100	772	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	100	772	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	100	774	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19353	5	200000000	100	782	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	1	312	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	1	314	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	1	314	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	1	314	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	1	316	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	25	426	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	25	426	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	25	428	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	25	430	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	25	434	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	50	476	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	50	478	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	50	480	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	50	482	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	50	482	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	100	474	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	100	478	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	100	478	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	100	478	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	19558	10	100000000	100	488	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	1	542	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	1	544	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	1	544	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	1	546	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	1	552	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	25	2262	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	25	2268	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	25	2270	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	25	2270	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	25	2272	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	50	3938	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	50	3944	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	24268	5	250000000	50	3944	0.621439738915361	0.699904926309755	0.683905823195575
