instance_count	machine_type	slots	memory	data_size_MB	line_length	lines	p_occurrence	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	190	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.5	190	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	216	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	218	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	218	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	220	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	0.75	222	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	1.0	234	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	1.0	242	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	1.0	242	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	1.0	246	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	12625	100	125000000	1.0	258	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.0	158	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.0	158	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.0	158	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.0	160	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.0	160	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.25	188	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.25	188	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.25	188	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.25	188	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.25	190	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	216	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	216	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	218	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	220	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.5	224	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	246	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	248	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	250	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	252	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	0.75	262	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	280	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	284	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	288	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	288	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	15150	100	150000000	1.0	298	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	178	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	178	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	180	0.73813508679461	0.917837907061713	0.817114731721182
2	m4.2xlarge	16	64000	17675	100	175000000	0.0	180	0.73813508679461	0.917837907061713	0.817114731721182
