instance_count	machine_type	slots	memory	data_size_MB	pages	links	convergence_criterion	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	192	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.001	194	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	152	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	154	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.005	156	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	136	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	136	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	138	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	138	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	131	1000000	10000000	0.01	140	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	364	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	366	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	370	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	370	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0001	370	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	302	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	304	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	304	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	306	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.0005	306	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	274	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	276	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.001	278	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	212	0.621439738915361	0.699904926309755	0.683905823195575
2	r4.2xlarge	16	122000	142	2000000	10000000	0.005	214	0.621439738915361	0.699904926309755	0.683905823195575
