instance_count	machine_type	slots	memory	data_size_MB	examples	features	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	m4.2xlarge	32	128000	bigdata	1000000	100000	6992	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	1000000	100000	6899	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	1000000	100000	7292	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	300000	50000	1836	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	300000	50000	1599	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	300000	50000	1701	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	300000	50000	2078	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	300000	50000	1815	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.large	8	32000	bigdata	1000000	100000	7721	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	1000000	100000	7458	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	1000000	100000	6934	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	1000000	100000	6127	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	1000000	100000	6200	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	300000	50000	7826	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	300000	50000	7055	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	300000	50000	6718	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	300000	50000	6317	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	300000	50000	7531	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.xlarge	16	64000	bigdata	1000000	100000	6480	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	1000000	100000	6231	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	1000000	100000	6370	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	1000000	100000	7230	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	1000000	100000	7174	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	300000	50000	3576	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	300000	50000	3052	0.724716697086843	0.939577226630061	0.806717869741047
