instance_count	machine_type	slots	memory	data_size_MB	pages	uservisits	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
16	c4.large	32	48000	bigdata	120000000	5000000000	735	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	bigdata	120000000	5000000000	710	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	bigdata	120000000	5000000000	499	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	1200000	10000000	349	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	1200000	10000000	425	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	1200000	10000000	422	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	1200000	10000000	384	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.large	32	48000	huge	1200000	10000000	355	0.958215477247805	0.963738302503114	0.959066866763844
16	c4.xlarge	64	112000	bigdata	120000000	5000000000	341	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	120000000	5000000000	410	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	120000000	5000000000	363	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	120000000	5000000000	297	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	bigdata	120000000	5000000000	349	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	1200000	10000000	307	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	1200000	10000000	350	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	1200000	10000000	367	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	1200000	10000000	311	0.981580131098954	0.916863624781091	1.0
16	c4.xlarge	64	112000	huge	1200000	10000000	255	0.981580131098954	0.916863624781091	1.0
16	m4.large	32	128000	bigdata	120000000	5000000000	624	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	120000000	5000000000	557	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	120000000	5000000000	568	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	120000000	5000000000	558	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	120000000	5000000000	710	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	1200000	10000000	508	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	1200000	10000000	539	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	1200000	10000000	454	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	1200000	10000000	536	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	1200000	10000000	374	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.xlarge	64	256000	bigdata	120000000	5000000000	463	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	120000000	5000000000	453	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	120000000	5000000000	444	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	120000000	5000000000	475	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	120000000	5000000000	372	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	1200000	10000000	295	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	1200000	10000000	335	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	1200000	10000000	317	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	1200000	10000000	314	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	1200000	10000000	287	0.724716697086843	0.939577226630061	0.806717869741047
16	r4.large	32	240000	bigdata	120000000	5000000000	687	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	120000000	5000000000	693	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	120000000	5000000000	604	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	120000000	5000000000	636	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	120000000	5000000000	583	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	1200000	10000000	394	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	1200000	10000000	447	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	1200000	10000000	430	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	1200000	10000000	366	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	1200000	10000000	440	0.626835516578723	1.0	0.670704216951795
16	r4.xlarge	64	480000	bigdata	120000000	5000000000	280	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	120000000	5000000000	431	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	120000000	5000000000	409	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	120000000	5000000000	476	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	120000000	5000000000	322	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	1200000	10000000	290	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	1200000	10000000	324	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	1200000	10000000	300	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	1200000	10000000	327	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	1200000	10000000	390	0.621758403741034	0.91340066266808	0.680859830691666
20	c4.xlarge	80	140000	bigdata	120000000	5000000000	417	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	120000000	5000000000	372	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	120000000	5000000000	401	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	120000000	5000000000	406	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	bigdata	120000000	5000000000	405	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	1200000	10000000	355	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	1200000	10000000	277	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	1200000	10000000	333	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	1200000	10000000	316	0.981580131098954	0.916863624781091	1.0
20	c4.xlarge	80	140000	huge	1200000	10000000	363	0.981580131098954	0.916863624781091	1.0
20	m4.xlarge	80	320000	bigdata	120000000	5000000000	365	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	120000000	5000000000	405	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	120000000	5000000000	384	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	120000000	5000000000	393	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	bigdata	120000000	5000000000	352	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	1200000	10000000	349	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	1200000	10000000	366	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	1200000	10000000	360	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	1200000	10000000	325	0.724716697086843	0.939577226630061	0.806717869741047
20	m4.xlarge	80	320000	huge	1200000	10000000	348	0.724716697086843	0.939577226630061	0.806717869741047
20	r4.xlarge	80	600000	bigdata	120000000	5000000000	378	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	120000000	5000000000	403	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	120000000	5000000000	374	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	120000000	5000000000	362	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	bigdata	120000000	5000000000	384	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	1200000	10000000	304	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	1200000	10000000	299	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	1200000	10000000	327	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	1200000	10000000	301	0.621758403741034	0.91340066266808	0.680859830691666
20	r4.xlarge	80	600000	huge	1200000	10000000	344	0.621758403741034	0.91340066266808	0.680859830691666
24	c4.large	48	72000	bigdata	120000000	5000000000	454	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	bigdata	120000000	5000000000	378	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	bigdata	120000000	5000000000	414	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	bigdata	120000000	5000000000	435	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	bigdata	120000000	5000000000	390	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	1200000	10000000	364	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	1200000	10000000	344	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	1200000	10000000	362	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	1200000	10000000	416	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.large	48	72000	huge	1200000	10000000	500	0.958215477247805	0.963738302503114	0.959066866763844
24	c4.xlarge	96	168000	bigdata	120000000	5000000000	347	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	120000000	5000000000	307	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	120000000	5000000000	371	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	120000000	5000000000	391	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	bigdata	120000000	5000000000	385	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	1200000	10000000	277	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	1200000	10000000	386	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	1200000	10000000	336	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	1200000	10000000	363	0.981580131098954	0.916863624781091	1.0
24	c4.xlarge	96	168000	huge	1200000	10000000	321	0.981580131098954	0.916863624781091	1.0
24	m4.large	48	192000	bigdata	120000000	5000000000	445	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	120000000	5000000000	528	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	120000000	5000000000	499	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	120000000	5000000000	405	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	bigdata	120000000	5000000000	421	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	1200000	10000000	377	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	1200000	10000000	389	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	1200000	10000000	267	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	1200000	10000000	384	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.large	48	192000	huge	1200000	10000000	304	0.719976297083032	0.963352406209638	0.757775976316556
24	m4.xlarge	96	384000	bigdata	120000000	5000000000	407	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	120000000	5000000000	338	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	120000000	5000000000	460	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	120000000	5000000000	334	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	bigdata	120000000	5000000000	371	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	1200000	10000000	361	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	1200000	10000000	412	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	1200000	10000000	376	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	1200000	10000000	366	0.724716697086843	0.939577226630061	0.806717869741047
24	m4.xlarge	96	384000	huge	1200000	10000000	363	0.724716697086843	0.939577226630061	0.806717869741047
24	r4.large	48	360000	bigdata	120000000	5000000000	445	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	120000000	5000000000	458	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	120000000	5000000000	440	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	120000000	5000000000	525	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	bigdata	120000000	5000000000	473	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	1200000	10000000	343	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	1200000	10000000	313	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	1200000	10000000	409	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	1200000	10000000	379	0.626835516578723	1.0	0.670704216951795
24	r4.large	48	360000	huge	1200000	10000000	363	0.626835516578723	1.0	0.670704216951795
24	r4.xlarge	96	720000	bigdata	120000000	5000000000	345	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	120000000	5000000000	380	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	120000000	5000000000	392	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	120000000	5000000000	400	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	bigdata	120000000	5000000000	384	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	1200000	10000000	329	0.621758403741034	0.91340066266808	0.680859830691666
24	r4.xlarge	96	720000	huge	1200000	10000000	340	0.621758403741034	0.91340066266808	0.680859830691666
