instance_count	machine_type	slots	memory	data_size_MB	pages	convergence_criterion	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
16	m4.large	32	128000	bigdata	50000000	0.0	803	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	50000000	0.0	773	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	50000000	0.0	856	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	bigdata	50000000	0.0	895	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	5000000	0.0	378	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	5000000	0.0	329	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	5000000	0.0	341	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	5000000	0.0	322	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.large	32	128000	huge	5000000	0.0	346	0.719976297083032	0.963352406209638	0.757775976316556
16	m4.xlarge	64	256000	bigdata	50000000	0.0	400	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	50000000	0.0	371	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	50000000	0.0	396	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	50000000	0.0	480	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	bigdata	50000000	0.0	429	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	5000000	0.0	226	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	5000000	0.0	200	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	5000000	0.0	220	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	5000000	0.0	189	0.724716697086843	0.939577226630061	0.806717869741047
16	m4.xlarge	64	256000	huge	5000000	0.0	218	0.724716697086843	0.939577226630061	0.806717869741047
16	r4.large	32	240000	bigdata	50000000	0.0	617	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	50000000	0.0	579	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	50000000	0.0	650	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	50000000	0.0	657	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	bigdata	50000000	0.0	629	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	5000000	0.0	311	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	5000000	0.0	364	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	5000000	0.0	306	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	5000000	0.0	331	0.626835516578723	1.0	0.670704216951795
16	r4.large	32	240000	huge	5000000	0.0	370	0.626835516578723	1.0	0.670704216951795
16	r4.xlarge	64	480000	bigdata	50000000	0.0	357	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	50000000	0.0	338	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	50000000	0.0	344	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	50000000	0.0	334	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	bigdata	50000000	0.0	351	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	5000000	0.0	214	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	5000000	0.0	248	0.621758403741034	0.91340066266808	0.680859830691666
16	r4.xlarge	64	480000	huge	5000000	0.0	205	0.621758403741034	0.91340066266808	0.680859830691666
