instance_count	machine_type	slots	memory	data_size_MB	use_dense	examples	features	pages	classes	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
6	c4.large	12	18000	huge	False	10000	1000	500000	100	1912	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.large	12	18000	huge	False	10000	1000	500000	100	1863	0.958215477247805	0.963738302503114	0.959066866763844
6	c4.xlarge	24	42000	bigdata	False	10000	100000	20000000	20000	2158	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	bigdata	False	10000	100000	20000000	20000	1959	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	bigdata	False	10000	100000	20000000	20000	2001	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	bigdata	False	10000	100000	20000000	20000	1892	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	bigdata	False	10000	100000	20000000	20000	2265	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	huge	False	10000	1000	500000	100	1098	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	huge	False	10000	1000	500000	100	932	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	huge	False	10000	1000	500000	100	900	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	huge	False	10000	1000	500000	100	1066	0.981580131098954	0.916863624781091	1.0
6	c4.xlarge	24	42000	huge	False	10000	1000	500000	100	861	0.981580131098954	0.916863624781091	1.0
6	m4.2xlarge	48	192000	bigdata	False	10000	100000	20000000	20000	1120	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	bigdata	False	10000	100000	20000000	20000	1253	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	bigdata	False	10000	100000	20000000	20000	967	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	bigdata	False	10000	100000	20000000	20000	1162	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	bigdata	False	10000	100000	20000000	20000	1099	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	huge	False	10000	1000	500000	100	617	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	huge	False	10000	1000	500000	100	625	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	huge	False	10000	1000	500000	100	575	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	huge	False	10000	1000	500000	100	608	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.2xlarge	48	192000	huge	False	10000	1000	500000	100	602	0.73813508679461	0.917837907061713	0.817114731721182
6	m4.large	12	48000	bigdata	False	10000	100000	20000000	20000	3218	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	bigdata	False	10000	100000	20000000	20000	4288	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	bigdata	False	10000	100000	20000000	20000	4037	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	bigdata	False	10000	100000	20000000	20000	4771	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	bigdata	False	10000	100000	20000000	20000	4882	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	huge	False	10000	1000	500000	100	2096	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	huge	False	10000	1000	500000	100	2333	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	huge	False	10000	1000	500000	100	2091	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	huge	False	10000	1000	500000	100	2185	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.large	12	48000	huge	False	10000	1000	500000	100	2735	0.719976297083032	0.963352406209638	0.757775976316556
6	m4.xlarge	24	96000	bigdata	False	10000	100000	20000000	20000	2213	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	bigdata	False	10000	100000	20000000	20000	2006	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	bigdata	False	10000	100000	20000000	20000	2353	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	bigdata	False	10000	100000	20000000	20000	2011	0.724716697086843	0.939577226630061	0.806717869741047
6	m4.xlarge	24	96000	bigdata	False	10000	100000	20000000	20000	1665	0.724716697086843	0.939577226630061	0.806717869741047
