instance_count	machine_type	slots	memory	data_size_MB	examples	features	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
12	m4.xlarge	48	192000	huge	10000	300000	1496	0.724716697086843	0.939577226630061	0.806717869741047
12	m4.xlarge	48	192000	huge	10000	300000	1839	0.724716697086843	0.939577226630061	0.806717869741047
12	r4.2xlarge	96	732000	bigdata	10000	700000	2656	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	10000	700000	2033	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	10000	700000	2757	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	10000	700000	2689	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	bigdata	10000	700000	2341	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	10000	300000	1418	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	10000	300000	1772	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	10000	300000	1518	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	10000	300000	1751	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.2xlarge	96	732000	huge	10000	300000	1661	0.621439738915361	0.699904926309755	0.683905823195575
12	r4.large	24	180000	bigdata	10000	700000	2084	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	10000	700000	2306	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	10000	700000	2554	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	10000	700000	2301	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	bigdata	10000	700000	2624	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	10000	300000	1070	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	10000	300000	1380	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	10000	300000	1184	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	10000	300000	992	0.626835516578723	1.0	0.670704216951795
12	r4.large	24	180000	huge	10000	300000	1117	0.626835516578723	1.0	0.670704216951795
12	r4.xlarge	48	360000	bigdata	10000	700000	2453	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	10000	700000	2335	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	10000	700000	2130	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	10000	700000	2863	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	bigdata	10000	700000	2025	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	10000	300000	1665	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	10000	300000	1847	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	10000	300000	1543	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	10000	300000	1547	0.621758403741034	0.91340066266808	0.680859830691666
12	r4.xlarge	48	360000	huge	10000	300000	1780	0.621758403741034	0.91340066266808	0.680859830691666
16	c4.large	32	48000	bigdata	10000	700000	3944	0.958215477247805	0.963738302503114	0.959066866763844
