instance_count	machine_type	slots	memory	data_size_MB	num_of_clusters	dimensions	num_of_samples	samples_per_inputfile	max_iteration	k	gross_runtime	cpu_sysbench	disk_seq_fio	memory_sysbench
4	c4.2xlarge	32	60000	bigdata	5	20	1200000000	40000000	10	10	3571	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	5	20	1200000000	40000000	10	10	3569	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	5	20	1200000000	40000000	10	10	3260	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	5	20	1200000000	40000000	10	10	3992	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	bigdata	5	20	1200000000	40000000	10	10	4289	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5	20	100000000	20000000	5	10	2509	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5	20	100000000	20000000	5	10	2384	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5	20	100000000	20000000	5	10	2713	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5	20	100000000	20000000	5	10	2684	1.0	0.975170773880192	0.995589462652916
4	c4.2xlarge	32	60000	huge	5	20	100000000	20000000	5	10	2632	1.0	0.975170773880192	0.995589462652916
4	c4.large	8	12000	bigdata	5	20	1200000000	40000000	10	10	8076	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	5	20	1200000000	40000000	10	10	7223	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	5	20	1200000000	40000000	10	10	6604	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	5	20	1200000000	40000000	10	10	7938	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	bigdata	5	20	1200000000	40000000	10	10	6532	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	5	20	100000000	20000000	5	10	7104	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	5	20	100000000	20000000	5	10	6715	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	5	20	100000000	20000000	5	10	7346	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	5	20	100000000	20000000	5	10	7412	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.large	8	12000	huge	5	20	100000000	20000000	5	10	7206	0.958215477247805	0.963738302503114	0.959066866763844
4	c4.xlarge	16	28000	bigdata	5	20	1200000000	40000000	10	10	6829	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	5	20	1200000000	40000000	10	10	7922	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	5	20	1200000000	40000000	10	10	6703	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	5	20	1200000000	40000000	10	10	6831	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	bigdata	5	20	1200000000	40000000	10	10	6991	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	5	20	100000000	20000000	5	10	4017	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	5	20	100000000	20000000	5	10	3997	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	5	20	100000000	20000000	5	10	4011	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	5	20	100000000	20000000	5	10	3027	0.981580131098954	0.916863624781091	1.0
4	c4.xlarge	16	28000	huge	5	20	100000000	20000000	5	10	3590	0.981580131098954	0.916863624781091	1.0
4	m4.2xlarge	32	128000	bigdata	5	20	1200000000	40000000	10	10	2774	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	5	20	1200000000	40000000	10	10	2279	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	5	20	1200000000	40000000	10	10	2895	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	5	20	1200000000	40000000	10	10	2663	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	bigdata	5	20	1200000000	40000000	10	10	2543	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5	20	100000000	20000000	5	10	1628	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5	20	100000000	20000000	5	10	1386	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5	20	100000000	20000000	5	10	1189	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5	20	100000000	20000000	5	10	957	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.2xlarge	32	128000	huge	5	20	100000000	20000000	5	10	1192	0.73813508679461	0.917837907061713	0.817114731721182
4	m4.large	8	32000	bigdata	5	20	1200000000	40000000	10	10	5902	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	5	20	1200000000	40000000	10	10	6841	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	5	20	1200000000	40000000	10	10	7264	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	5	20	1200000000	40000000	10	10	6934	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	bigdata	5	20	1200000000	40000000	10	10	7675	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5	20	100000000	20000000	5	10	4973	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5	20	100000000	20000000	5	10	5865	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5	20	100000000	20000000	5	10	5833	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5	20	100000000	20000000	5	10	7051	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.large	8	32000	huge	5	20	100000000	20000000	5	10	5612	0.719976297083032	0.963352406209638	0.757775976316556
4	m4.xlarge	16	64000	bigdata	5	20	1200000000	40000000	10	10	4727	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	5	20	1200000000	40000000	10	10	4791	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	5	20	1200000000	40000000	10	10	5219	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	5	20	1200000000	40000000	10	10	5192	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	bigdata	5	20	1200000000	40000000	10	10	6262	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5	20	100000000	20000000	5	10	2412	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5	20	100000000	20000000	5	10	2287	0.724716697086843	0.939577226630061	0.806717869741047
4	m4.xlarge	16	64000	huge	5	20	100000000	20000000	5	10	2472	0.724716697086843	0.939577226630061	0.806717869741047
